doc_id,content
D1,"제주도는 한라산 등반, 성산 일출봉, 협재·함덕해수욕장 등 관광명소와 흑돼지, 고기국수, 전복죽 등 현지 음식이 유명하며, 서귀포 대정읍 카페 거리도 인기입니다. 렌터카와 시외버스를 주로 이용하며, 우도 투어와 올레길 트레킹은 사전 예약으로 즐길 수 있습니다."
D2,"비빔밥은 조선 시대부터 전해진 한국 전통 음식으로, 전주 비빔밥은 다양한 고명과 전주식 고추장을 사용하며 잔치용으로 유명하고, 진주 비빔밥은 고기·회·나물을 섞어 풍부한 식감을 제공합니다. 두 지역은 역사와 재료 구성이 달라 맛과 풍미가 다릅니다."
D3,"걸스데이는 2010년 데뷔한 대한민국 4인조 걸그룹으로, 대표곡은 “Something”, “Darling”, “Expectation”이며 초기 청순에서 섹시·여성미 컨셉으로 변화해 음원 차트 상위권에 올랐습니다. 멤버 민아, 유라, 소진, 혜리는 드라마, 예능, 광고 등 다양한 분야에서 활동하고 있습니다."
D4,"세종대왕(1397~1450)은 백성들의 문맹 문제 해결과 국가 통치 효율화를 위해 훈민정음을 창제한 조선의 4대 임금이며, 그의 훈민정음 해례본은 유네스코 세계기록유산으로 등재되어 한국 문화와 문자 체계에 큰 영향을 미쳤다."
D5,"이순신 장군(1545~1598)은 임진왜란 명량 해전에서 13척의 배로 133척의 왜선을 격파했으며, 학익진 전술과 기상·해류 활용 전략으로 유명하다. 그의 업적은 한국 해군 전통과 군사 전략 연구의 핵심 사례로 평가된다."
D6,"2024년 전 지구 평균 기온은 산업화 이전 대비 1.2℃ 상승했으며, 해수면 상승과 극지방 빙하 감소, 이상 기상 현상이 증가했습니다. 전 세계적으로 재생에너지 확대, 탄소 중립 정책, 전기차 보급이 주요 과제로, 한국은 2050 탄소 중립 목표와 신재생에너지 확대, 탄소세 도입을 추진 중입니다."
D7,"최근 인공지능 분야에서는 GPT-4, GPT-4o-mini 등 생성형 AI와 DALL·E, Stable Diffusion 이미지 생성, CLIP 멀티모달 모델, 강화학습 기반 에이전트 개발이 활발하며, 데이터 편향, 프라이버시, 자율성 등 AI 윤리 이슈도 중요하게 다뤄지고 있다."
D8,"서울 지하철 1~9호선은 서울역, 강남역, 종로3가역, 고속터미널역 등 주요 환승역을 포함하며, 기본 요금은 1,250원이고 거리별 추가 요금이 부과됩니다. T-money 카드 사용 시 자동 할인되며, 출퇴근 시간대 혼잡과 5호선 공덕역 환승 구간에 주의가 필요합니다."
D9,"판소리는 소리꾼과 고수가 함께하는 한국 전통 음악으로, 대표 작품으로 “춘향가”, “심청가”, “흥부가”가 있으며, “춘향가”는 이몽룡과 성춘향의 사랑과 신분제 갈등을 다룹니다. 판소리는 소리, 아니리, 발림으로 구성되고 지역별 창법 차이가 있습니다."
D10,"한국 축구 대표팀은 2002 한일 월드컵 4강, 2012 런던 올림픽 동메달, 2022 카타르 월드컵 16강 진출 성과를 거뒀으며, 박지성·차범근·손흥민·기성용 등이 주요 선수이고 거스 히딩크(2002), 슈틸리케(2022)가 감독을 맡았습니다. 최근 젊은 선수들의 활약으로 아시아 예선과 월드컵 본선에서 경쟁력을 유지하고 있습니다."
