query_id,query_text,relevant_doc_ids
MQ1,김철수가 작성한 검색 카테고리 문서 중 ChromaDB와 Qdrant를 비교한 문서를 찾아줘,D27=3
MQ2,김철수 저자의 검색 카테고리 문서에서 Contextual Compression 개념을 설명한 자료는?,D28=3
MQ3,김철수가 쓴 검색 카테고리 문서 중 Self-Query Retriever 원리를 다룬 문서는?,D29=3
MQ4,김철수 저자의 검색 카테고리 문서에서 Multi-Hop Retrieval 예시를 찾아줘,D30=3
MQ5,한지민 저자의 AI 카테고리 문서 중 기후 예측 연구 사례와 모델을 다룬 자료는?,D14=3;D26=2
MQ6,한지민이 작성한 AI 정책 카테고리 문서에서 인재 양성과 윤리 가이드라인 내용을 찾아줘,D25=3
MQ7,이서연 저자의 음식 카테고리 문서 중 전주 비빔밥과 진주 비빔밥 차이를 설명한 문서는?,D2=3
MQ8,이서연이 작성한 건강 또는 음식 카테고리 문서에서 비빔밥 영양과 저칼로리 식단 관련 내용을 찾아줘,D13=3;D11=2
MQ9,오세린 저자의 문화 카테고리 문서 중 판소리 춘향가의 서사 구조를 설명한 자료는?,D9=3
MQ10,오세린이 작성한 음악 카테고리 문서에서 가야금 연주법과 현대 국악 활용 사례를 찾아줘,D15=3
MQ11,박민준 저자의 여행 카테고리 문서 중 제주도 올레길 트레킹과 관광지를 다룬 자료는?,D1=3
MQ12,박민준이 작성한 여행 카테고리 문서에서 서울 근교 당일치기 여행지를 추천한 자료는?,D12=3
MQ13,김도윤 저자의 AI 카테고리 문서 중 생성형 AI와 윤리 이슈를 다룬 문서를 찾아줘,D7=3
MQ14,김도윤이 작성한 프로그래밍 카테고리 문서에서 matplotlib 한글 시각화 설정을 설명한 자료는?,D18=3
MQ15,김도윤 저자의 프로그래밍 카테고리 문서 중 코드 악취와 리팩토링 방법을 설명한 자료는?,D19=3
MQ16,김도윤이 작성한 Java 테스트 문서에서 JUnit5와 JUnit4 차이점을 찾아줘,D20=3
MQ17,박준호 저자의 디자인패턴 카테고리 문서 중 싱글톤 패턴과 멀티스레드 안전성을 설명한 자료는?,D22=3
MQ18,박준호가 작성한 디자인패턴 카테고리 문서에서 Strategy 패턴의 결제 시스템 예제를 찾아줘,D23=3
MQ19,박준호 저자의 디자인패턴 문서 중 Command 패턴과 Undo 기능 구현을 다룬 자료는?,D24=3
MQ20,최유나 저자의 영화 카테고리 문서에서 2023년 한국 영화 흥행 Top10을 다룬 자료는?,D17=3
MQ21,강민재 저자의 스포츠 카테고리 문서 중 한국 축구 대표팀 2002 월드컵 기록을 설명한 자료는?,D10=3
MQ22,강민재가 작성한 게임 카테고리 문서에서 Wheel of Fortune 게임 전략을 설명한 자료는?,D21=3
MQ23,정하늘 저자의 역사 카테고리 문서 중 세종대왕과 훈민정음 창제 배경을 설명한 자료는?,D4=3
MQ24,정하늘이 작성한 역사 카테고리 문서에서 이순신 장군의 명량 해전 전술을 찾아줘,D5=3
MQ25,한지민 저자의 환경 카테고리 문서 중 2024년 기후 변화 지표와 탄소 중립 정책을 다룬 자료는?,D6=3
MQ26,카테고리가 검색인 문서들을 찾아줘,D27=3;D28=3;D29=3;D30=3
MQ27,김철수가 작성한 문서를 모두 찾아줘,D27=3;D28=3;D29=3;D30=3
MQ28,박준호가 작성한 디자인패턴 문서를 모두 찾아줘,D22=3;D23=3;D24=3
MQ29,한지민이 작성한 AI 관련 문서를 찾아줘,D14=3;D25=3;D26=3
MQ30,오세린이 작성한 문화 카테고리 문서를 모두 찾아줘,D9=3;D15=3;D16=3
