Id,ProductId,Score,Time,Summary,Text,HelpfulnessNumerator,HelpfulnessDenominator,ReviewDate,HelpfulnessRatio
183578,B000TMMWDC,1,1322956800,Pure Crap,"Monin did a good job of bait and switch.  No ingredients listed on Amazon.  No artificial ingredients listed on their website.  Lo and behold, the bottle arrived and on the label were both artificial flavor and colors.  Never again will I buy from this company. (They have since updated the list of ingredients on Amazon and their website.)",4,13,2011-12-04,0.3076923076923077
543366,B000V9VLOO,2,1334102400,Niether a ChickenStrip  nor a Chicken Jerky ( or Duck Jerky),"This product is more of a crumbly cookie.  My beagle ate it for a few days and then refused them.  I thought that his digestive system was a bit disrupted by this product, as well.  Of course, I cannot say for sure that these treats were the cause of his upset...perhaps my beagle can.  Anyhow, I will not be repeating this order.",0,0,2012-04-11,0.0
511651,B001EQ5DO2,5,1299801600,Good pistachios from USA,"Not too salty, not too many ""klinkers"" (bad ones), nice and fresh.  Clean pistachio taste.  What more can you ask for in a nut?",0,0,2011-03-11,0.0
128553,B007L3NVKU,4,1278892800,Good tasting and a great price,"This is a bold tasting coffee ( I drink it black) so if you like a French roast you will like this one, and the price is right.",2,3,2010-07-12,0.6666666666666666
176419,B000FDDESC,5,1319328000,We love this mix!,"This is our favorite of all the Hodgson's mixes.  I like to add poppyseeds to the mix, or dried onion, and extra herbs.  It's a delicious bread with our without additions.  It has a delicate flavor, which is great, because you don't always want an overpowering bread, but if you do you can easily add more ingredients to it.  I've never had a mix fail to rise.  I usually make this in my breadmaker, but I've also made it in to rolls in the oven.  This also makes a great focaccia base.  One of our favorite ways to augment this mix is to add tomato powder and garlic powder- and it smells like an Italian meal is cooking in our breadmaker.",0,0,2011-10-23,0.0
311241,B000HD3YDU,1,1207872000,Damaged Goods,"Most of the cans were received badly dented; one had to be thrown away unopened immediately.  Almost all of the can tops were covered in brown gunk and when I washed them saw that the metal is corroded or darkly rusted.  I bought this item several times in the past without any problems, but will not do it again after this experience.  Update:  Amazon.com sent a replacement order at no charge; most of the cans were dented, as in the original order, but no brown stuff on them.",0,1,2008-04-11,0.0
310054,B001EQ57TI,5,1282694400,Delicious!,"These porcini mushrooms are very good.  They add a great flavor and texture to omelets, soups, stews, and pasta sauces. They are particularly good with lentils.",5,5,2010-08-25,1.0
378539,B008FHUGNQ,5,1280966400,Awesome BOLD coffee,One of my top 2 favorites!!!!  Timothy's Midnight Magic is my Top Fav but this brew is a great BOLD smooth coffee!!!,1,1,2010-08-05,1.0
25073,B0081XIA1E,5,1338336000,Love it!,"My bull terrier loves this toy! He can igure this ""puzzle"" out very quick, but it occupys him long enough that I can get ready for work! I fill it with his dog food and a few treats!",0,0,2012-05-30,0.0
34475,B008FHUDW0,1,1295222400,Truly Disappointing. Product Changed. Not for the better!,"We have been buying Caribou Blend K-cups for a couple of years. It is a fine medium blend that we, and everyone that we have served it to, loves. We usually order it in larger quantities to try and save some money since we go through it fairly quickly. The last order we placed for 2 x 80 boxes was fulfilled with the K-cups with green color labels (the older labels were orange around the edges). The taste of this new k-cup can only be described as vile and has nothing to do with the former product. It is not drinkable. We have written to Caribou and have been waiting for a response, but nothing yet (I will update if I hear anything). DO NOT BUY this product if you have used the older product with he orange color on the label and liked it. You will not get the same thing and this coffee is truly terrible!<br /><br />Deserves 0 Stars...<br /><br />Update - a note from Caribou Corporate:<br /><br />Thank you for taking the time to contact us.<br /><br />We certainly apologize for any confusion. Recently the packaging for Caribou Blend K Cups did change. Previously the regular blend had an orange band and the decaf had a green band. The new labels the regular is a green band and the decaf is an orange band.<br /><br />The coffee itself has not changed, simply the label. There are two factors that might be involved in the change you taste. The change in taste is affected by the time that has lapsed between roasting the coffee beans and brewing them...freshness. Also, coffee is an agricultural crop that varies with weather and other environmental factors. Our Roastmasters put in a lot of time and attention to provide a consistency when roasting the coffee beans.<br /><br />We do apologize for any confusion and please let us know if there is anything else we can do for you.<br /><br />Sincerely,<br /><br />Linda<br /><br />Caribou Coffee Customer Relations<br /><br />The coffee is Dramatically different, but they will not admit to the change. Oh, well. Goodbye Caribou Coffee.",2,2,2011-01-17,1.0
501670,B0002HOG9M,5,1291593600,Smooth Coffee,"Barnies Blend is by far our favorite coffee. It is often requested by returning guests, It also makes a great gift!",0,0,2010-12-06,0.0
117651,B0002QEFIK,5,1277683200,Looking for Dessaux wine vinegar?,"For many years, I used Dessaux wine vinegar exclusively.  I am glad to say that Roland French Aged Red Wine Vinegar is a fine substitute and once again, I enjoy making my own salad dressing.  I was a bit anxious to order vinegar on line but the packaging was more than adequate - I was impressed.",1,1,2010-06-28,1.0
125981,B001VNO71S,4,1303948800,"Perfect for baking, but likely a long time supply","The good news is that this is a very high quality Korintje cinnamon which is great for baking (especially when you are too lazy for grate your own- which I often am).  The other good news, the price and quality are much better than the stuff at your supermarket.<br /><br />The bad news- the pack of three is quite a bit of cinnamon.  While not a lifetime supply, in normal use this should last a very long time.  Still, this spice has been perfect in my muffins and scones and I won't need more cinnamon anytime soon.  Recommended.",2,2,2011-04-28,1.0
380100,B000HY5A3Q,1,1321315200,big disappointment,"We were looking forward to our Jammie Dodgers, but from the first bite it was a big disappointment. I couldn't believe that these were the same cookies I remembered so fondly from our trips to visit our daughter in England. When I looked at the box, I found that they were 2 years past their sell by date! Don't waste your money on these bisquits! I thought Amazon would have more quality control.",1,3,2011-11-15,0.3333333333333333
285783,B00124VPX4,5,1326844800,Great Gum - Finally!,"This gum is clean and refreshing, not sugary and not filled with artificial chemical sweeteners.  It's almost impossible to find a gum like this anywhere.  Stores all carry gum with aspartame and BHT.  Very thankful for this product.",3,3,2012-01-18,1.0
232351,B001BCPDNK,4,1214352000,South African Secret.,"South Africans are as avid tea drinkers as the inhabitants of any other country (formerly) belonging to the British Commmonwealth - today, consumption averages about 10 billion cups per year - and tea was first grown in Durban Botanical Gardens in 1850 from plants imported from London's Kew Gardens (commercial production began in 1877, with seeds from Assam). Yet, production around the major tea center of Tzaneen in the Northern Province (formerly known as North-East Transvaal) as well as in the country's other tea growing locations has had an unstable history; staggering badly in the mid-twentieth century and although revived thereafter, available only domestically during apartheid. Only after apartheid ended, South African tea farmers were able to export their products. Hence, black tea from South Africa is still a fairly well-kept secret; although roughly 40% of the country's tea is now sold on the world market and it is already among the world's top 20 tea-producing nations.<br /><br />Harvested before the beginning of the winter cool, between October and April, a tea fairly well-known outside South Africa is that produced by the Ntingwe Estate located in a remote corner of the Kwazulu-Natal heartland. Established in 1987 and with over 200 permanent employees, 430 seasonal pickers as well as a program involving the cooperation of local farmers with the estate's on-site processing plant, Ntingwe is *the* single biggest employer and source of financial stability in a region otherwise plagued by record unemployment numbers (up to 60%), illiteracy and poverty. Lighter than other African (e.g. Kenyan) teas, Ntingwe tea has gained an excellent reputation in the short time since its introduction to the international market and makes for as great a breakfast tea as an afternoon refreshment or a pick-me-up throughout the day.",4,5,2008-06-25,0.8
327792,B001KEF8PM,5,1298419200,Organic Hempseed,"This is actually truly organic hempseed unlike other listings & brands where it just says pesticide free. There IS a difference between them. This is a really great product. Now if they can just consistently keep this option in stock, I can always order them.",1,1,2011-02-23,1.0
163139,B002C1URM6,3,1299542400,Not the best flavor of BFF,"My cat completely ignores this flavor. Instead of the normal slab of meat, like BFF's other flavors, this one is soupy, and apparently not very good. My cat looks at me like I'm crazy when I give it to her. I don't know if I got a bad batch. If someone has gotten this, and it wasn't soupy, please leave a comment.",0,1,2011-03-08,0.0
225800,B00193WZQE,5,1336348800,Great tasting snack,"this product is a great snack....It is not only good for you it is great tasting!!!  My grandson Jack is 2 and a half, he dose not like anything that is good for him... He eats them like crazy!!!!  The price is great for what you get....",0,0,2012-05-07,0.0
505251,B005LURG7O,1,1344816000,Rip off,This is way to much for this item.  I can buy 10 boxes at wal-mart for 10$.  Do not buy this online!  Much easier to buy in store.,1,1,2012-08-13,1.0
245871,B001E5E3EO,5,1240099200,Excellent Product,"I have been eating these cornflakes for years.  I find the taste just right - light but clearly corn.  I eat them with fruit, or fruit juice judiciously poured.  The flakes will get soggy in too much moisture, but I find the taste and lack of additives well worth it if I misjudge the amount of juice.  Any juicy fruit is perfect, or one could just eat these flakes by the handful!  Frankly, I won't eat any other cereal.",0,0,2009-04-19,0.0
498338,B0030VBPN2,4,1337644800,Love Happy Tot,I just love the happy tot baby food line. It stores so easily and I know I'm feeding my baby the food that is good for her. So far she really is enjoying the taste.,0,0,2012-05-22,0.0
324327,B000FA0VSG,5,1315267200,peidatric soy drink,Great product for my 18 month old preemie. She is Lactose intolerant at times will not eat enough of her meal. This drink gives her the calories needed plus all vitamins DHA plus Omega 3. This product does not cause constipation nor bloating nor gas issues.,0,0,2011-09-06,0.0
248656,B000E682NW,5,1248566400,Blueberry,"Blueberries.  I could eat blueberries all day.  I guess I need to move to Maine just so I'd be near all those blueberries.<br /><br />This blueberry-flavored tea is mouth-watering and quenching.  I put the bags in my water bottle, and the bottle goes in the freezer until ice shards begin to form.  Then I can drink it.  I even tried this blueberry tea with sparkling seltzer water, and it is really good.<br /><br />The rich blue packaging is also appetizing.",3,3,2009-07-26,1.0
376769,B00330KJF0,5,1269302400,Too expensive but very tasty,"I bought these at my local supermarket--and this is not a cheapy market--for $2.50 for a box of 5 pouches (10 crisps). The price I'm seeing here on this date (3-23-10, $22.80 for 20 pouches) is more than twice that price. The crisps are great, though, so if you don't care about price, by all means, buy them here.",5,5,2010-03-23,1.0
475891,B0000GG25G,5,1264204800,Awesomeness in a Jar,"I LOVE this salsa so much I came on Amazon to add it to my wishlist. I usually buy this salsa at Publix, but when i went there last week they were sold out and I was not happy. I guess next time I will buy two of them. I love Mexican food and lived in the southwest before so I know GREAT salsa. And for a jar salsa, this is very good, for a verde jar salsa, its the best I have had. It reminds me of the verde salsa I've had near the southwestern border except not as fresh, but it still doesn't have that nasty jar taste. I live far from Mexico now and it is very hard to find great salsa.",3,6,2010-01-23,0.5
456267,B003BJZMSM,4,1303516800,"Sweet and spicy, tangy BBQ taste","These came in the variety pack <a href=""http://www.amazon.com/gp/product/B003AZ2ECY"">Gourmet Basics Smart Fries 6-Flavor Variety Pak, 1-Ounce Bags (Pack of 24)</a>, and were among my favorite.  I must say that all the varieties are enjoyable.  However, the BBQ, honey mustard, and plain potato chips or fries stood out in front of the assortment.  This brand's packages are much fuller than others.  The chips or fries have a sweet and spicy, tangy BBQ flavor.  I say they have more of a Memphis than Carolina style BBQ taste.  I would say they will pair with almost any kind of hearty sandwich or make a filling snack.  Yummy!",1,1,2011-04-23,1.0
141852,B003GTR8IO,4,1291507200,"Good Coffee, Can't Taste the Vanilla","While there is no doubt that Starbucks Vanilla Fusions Brews a good cup of coffee, I wouldn't claim it's infused with Vanilla flavors. In fact, without additional vanilla creamer, I can't tell the difference between this bag and the ordinary cup of Joe. So if you're looking for the Vanilla flavor right out of the pot, this is not your bag.  But this coffee also claims to be natural and ethically grown, so it does give you something to feel a little better about, just have a little flavored creamer standing by.",0,0,2010-12-05,0.0
215629,B0001UK0C2,5,1348444800,Perfect for espresso machines,"The best light roast bean. It tastes better as a whole bean, ground just right and brewed with that perfect kick to start the morning right.",0,0,2012-09-24,0.0
385665,B000EPR1KI,5,1291852800,Love these!,These are my favorite ginger snaps & I was so pleased to be able to order these in bulk from Amazon.  I even got my first order from Amazon Warehouse so they were deeply discounted.  These are great with peanut butter.  Yum.  I also like to crush them up a little in my mortar & pestle & mix them into my granola.  They also make good cookie crumb pie crusts.  There are so many great uses for these including of course just eating them out of the bag.,1,1,2010-12-09,1.0
519950,B000YSTIL0,5,1221523200,A tasty snack for the health conscious,"I am a label reader - I count fat grams, carbs, proteins and grams of fiber vs. grams of sugar.  Most foods that advertise themselves as a ""healthy"" snack are not really all that good for you.  Often they are too high in calories or they use products that you just shouldn't eat.  This snack food, FoodShouldTasteGood Multigrain chips really is a good tasting, good for you snack.<br /><br />The ingredients are listed on this page and you can see that there are no hydrogenated oils, no high fructose corn syrup and no MSG.  They contain grains that are visible in the chip and a one ounce serving gives you 3 grams of fiber.  (The packaging doesn't specify if it is soluble or insoluble.)<br /><br />The chips are delicious.  They are thicker than what you would expect in a normal corn tortilla chip; more like a cracker in thickness but with the crunch of a chip.  The flavor is similar to a popular name brand corn chip (Fritos) only without the added fat.  I can see where some people say they have a stale taste - there is a grain that has a mild nutty flavor in the chip that you don't expect to taste in a corn chip.  I recommend the multigrain chip if you are hungry for a salty snack that won't blow your diet and that leaves all the unhealthy junk out.  I tried the Buffalo flavor this weekend and they have a very mild kick; much milder than I expected.  I still like them, but not as much as the plain.",7,7,2008-09-16,1.0
293723,B000052Y74,4,1199318400,all right by me !!!,"I have to start a course of chemotherapy; and my dentist recommended this gum to me to chew during the months I am on chemo. I am impressed with this gum because of its way of using natural enzyme protection to relieve dry mouth and protect your teeth from decay during cancer treatment.<br /><br />Oh yes, it's true--the gum loses it mild mint flavor pretty quickly--after just about a minute! However, if you want to protect your mouth during chemo, it certainly couldn't hurt to at least chew this gum some of the time. It beats getting cavities. At 44 I still have no cavities and I'm not about to start now!<br /><br />You do need to chew two pieces of this gum at the same time. One piece will be too small and you could accidentally swallow it, I suppose.<br /><br />The two pieces of gum have a total of five calories, so don't be concerned about that. It is sweetened with xylitol.<br /><br />Overall, this gum can save you from dry mouth and tooth decay during a course of cancer therapy such as chemo. It may work well if you need radiation therapy, too. It's not a fun type of bubble gum, (how I wish that it were) but it does what it sets out to do--protect your mouth from decay during a course of chemo treatment.<br /><br />Ask your dentist if you have any questions.",3,3,2008-01-03,1.0
454551,B002GWMB5C,4,1304985600,Nice Indian tea,"This (Nilgiri) is pretty good stuff. It brews up a nice rich brown and does not tend to get bitter during steeping. It seems to have a medium caffeine content for a black tea. It is similar to an Assam tea but maybe a little ""smoother"".<br />I will buy this tea again.",0,0,2011-05-10,0.0
158419,B0049YK1V6,5,1316995200,Good and Good For You!,"I received my first shipment of a monthly subscription order of the Whole Grain Hot Cereal.  These are absolutely wonderful!  When cooked, they have the consistency of grits, and well, they are! Whole grain grits (cereal)!  The cooking instructions call for salt to taste, but I also suggest a bit of butter or margarine.  Maybe some fresh fruit slices and you got a yummy breakfast!<br /><br />HIGHLY Recommended!  I'm keeping my monthly subscription for sure!",0,0,2011-09-26,0.0
527357,B001KWVJCU,2,1298764800,Ok,"This simmer sauce wasn't what I expected. I made Chicken Tikka Masala with this sauce for my roommates. It didn't thicken like I had expected and had more of a curry flavor than a tomato flavor. I used to order this dish from my local Indian eatery, and this just didn't compare. It wasn't awful but it wasn't what I was looking for and I won't order it again.",0,0,2011-02-27,0.0
339500,B00375LB9E,5,1297814400,AESTHETICALLY PLEASING~~~~SPRINKLES!,"Seriously, sprinkles are not just for eye pleasing aesthetics but for mouth pleasing texture.  This bag is great value compared to buying the smaller size shakers with different colors. I can use two of containers of  those colors on one batch of 24 cupcakes.  I just have to find a proper container to put the bag ones in so they are easy to shake out onto cupcakes, as that is what I use them for mostly. I'll check on amazon to see if I can find an appropriate shaker.  I may just buy a smaller one (about 10 oz) shaker and use and re-use that one.  My son and I like them also on ice cream, topped with ready whip canned cream. Gives pleasing texture to  ice cream. Yum!",0,1,2011-02-16,0.0
